Nombre de Imagen,Clase Predicha,Confianza (%),Respuesta Cruda (ESP32)
aphid.100.jpg,healthy,65.49,Resultado: healthy Datos: aphid: -64 healthy: 39 
aphid.101.jpg,healthy,51.37,Resultado: healthy Datos: aphid: -29 healthy: 3 
aphid.103.jpg,aphid,52.55,Resultado: aphid Datos: aphid: 6 healthy: -27 
aphid.104.jpg,healthy,68.63,Resultado: healthy Datos: aphid: -74 healthy: 47 
aphid.105.jpg,aphid,63.53,Resultado: aphid Datos: aphid: 34 healthy: -57 
aphid.106.jpg,healthy,51.37,Resultado: healthy Datos: aphid: -23 healthy: 3 
aphid.107.jpg,aphid,54.9,Resultado: aphid Datos: aphid: 12 healthy: -35 
aphid.108.jpg,aphid,52.94,Resultado: aphid Datos: aphid: 7 healthy: -28 
aphid.109.jpg,healthy,54.9,Resultado: healthy Datos: aphid: -38 healthy: 12 
aphid.110.jpg,healthy,47.45,Resultado: healthy Datos: aphid: -9 healthy: -7 
aphid.111.jpg,aphid,74.9,Resultado: aphid Datos: aphid: 63 healthy: -84 
aphid.112.jpg,healthy,67.45,Resultado: healthy Datos: aphid: -71 healthy: 44 
aphid.113.jpg,healthy,65.1,Resultado: healthy Datos: aphid: -65 healthy: 38 
aphid.114.jpg,aphid,45.1,Resultado: aphid Datos: aphid: -13 healthy: -14 
aphid.115.jpg,aphid,47.06,Resultado: aphid Datos: aphid: -8 healthy: -17 
aphid.116.jpg,healthy,59.61,Resultado: healthy Datos: aphid: -42 healthy: 24 
aphid.117.jpg,aphid,52.94,Resultado: aphid Datos: aphid: 7 healthy: -31 
aphid.118.jpg,aphid,58.04,Resultado: aphid Datos: aphid: 20 healthy: -30 
aphid.51.jpg,healthy,66.27,Resultado: healthy Datos: aphid: -67 healthy: 41 
aphid.52.jpg,healthy,58.43,Resultado: healthy Datos: aphid: -51 healthy: 21 
aphid.53.jpg,healthy,45.49,Resultado: healthy Datos: aphid: -16 healthy: -12 
aphid.54.jpg,healthy,47.06,Resultado: healthy Datos: aphid: -15 healthy: -8 
aphid.55.jpg,healthy,46.67,Resultado: healthy Datos: aphid: -15 healthy: -9 
aphid.56.jpg,healthy,64.31,Resultado: healthy Datos: aphid: -56 healthy: 36 
aphid.57.jpg,healthy,52.55,Resultado: healthy Datos: aphid: -31 healthy: 6 
aphid.58.jpg,aphid,57.25,Resultado: aphid Datos: aphid: 18 healthy: -41 
aphid.59.jpg,healthy,50.59,Resultado: healthy Datos: aphid: -16 healthy: 1 
aphid.60.jpg,aphid,65.1,Resultado: aphid Datos: aphid: 38 healthy: -58 
aphid.61.jpg,healthy,58.04,Resultado: healthy Datos: aphid: -46 healthy: 20 
aphid.62.jpg,aphid,47.06,Resultado: aphid Datos: aphid: -8 healthy: -18 
aphid.63.jpg,healthy,68.63,Resultado: healthy Datos: aphid: -71 healthy: 47 
aphid.64.jpg,healthy,46.67,Resultado: healthy Datos: aphid: -18 healthy: -9 
aphid.65.jpg,aphid,61.18,Resultado: aphid Datos: aphid: 28 healthy: -48 
aphid.66.jpg,healthy,58.82,Resultado: healthy Datos: aphid: -47 healthy: 22 
aphid.67.jpg,healthy,54.12,Resultado: healthy Datos: aphid: -35 healthy: 10 
aphid.68.jpg,healthy,72.16,Resultado: healthy Datos: aphid: -80 healthy: 56 
aphid.69.jpg,aphid,66.27,Resultado: aphid Datos: aphid: 41 healthy: -61 
aphid.70.jpg,healthy,64.71,Resultado: healthy Datos: aphid: -62 healthy: 37 
aphid.71.jpg,healthy,51.37,Resultado: healthy Datos: aphid: -28 healthy: 3 
aphid.72.jpg,healthy,67.45,Resultado: healthy Datos: aphid: -71 healthy: 44 
aphid.73.jpg,aphid,51.76,Resultado: aphid Datos: aphid: 4 healthy: -29 
aphid.74.jpg,healthy,50.98,Resultado: healthy Datos: aphid: -27 healthy: 2 
aphid.75.jpg,healthy,47.45,Resultado: healthy Datos: aphid: -19 healthy: -7 
aphid.76.jpg,healthy,56.86,Resultado: healthy Datos: aphid: -35 healthy: 17 
aphid.77.jpg,healthy,63.53,Resultado: healthy Datos: aphid: -60 healthy: 34 
aphid.78.jpg,aphid,48.63,Resultado: aphid Datos: aphid: -4 healthy: -20 
aphid.79.jpg,aphid,56.08,Resultado: aphid Datos: aphid: 15 healthy: -34 
aphid.80.jpg,healthy,48.63,Resultado: healthy Datos: aphid: -25 healthy: -4 
aphid.81.jpg,aphid,50.2,Resultado: aphid Datos: aphid: 0 healthy: -24 
aphid.82.jpg,healthy,49.8,Resultado: healthy Datos: aphid: -22 healthy: -1 
aphid.83.jpg,healthy,68.24,Resultado: healthy Datos: aphid: -72 healthy: 46 
aphid.84.jpg,healthy,48.63,Resultado: healthy Datos: aphid: -16 healthy: -4 
aphid.85.jpg,healthy,52.55,Resultado: healthy Datos: aphid: -31 healthy: 6 
aphid.86.jpg,healthy,56.86,Resultado: healthy Datos: aphid: -47 healthy: 17 
aphid.87.jpg,healthy,54.12,Resultado: healthy Datos: aphid: -34 healthy: 10 
aphid.88.jpg,healthy,54.12,Resultado: healthy Datos: aphid: -35 healthy: 10 
aphid.89.jpg,healthy,49.8,Resultado: healthy Datos: aphid: -23 healthy: -1 
aphid.90.jpg,aphid,59.61,Resultado: aphid Datos: aphid: 24 healthy: -39 
aphid.91.jpg,aphid,58.04,Resultado: aphid Datos: aphid: 20 healthy: -40 
aphid.92.jpg,aphid,51.76,Resultado: aphid Datos: aphid: 4 healthy: -27 
aphid.93.jpg,healthy,45.49,Resultado: healthy Datos: aphid: -13 healthy: -12 
aphid.94.jpg,healthy,63.14,Resultado: healthy Datos: aphid: -61 healthy: 33 
aphid.95.jpg,aphid,47.84,Resultado: aphid Datos: aphid: -6 healthy: -18 
aphid.96.jpg,healthy,47.06,Resultado: healthy Datos: aphid: -16 healthy: -8 
aphid.97.jpg,healthy,56.47,Resultado: healthy Datos: aphid: -38 healthy: 16 
aphid.98.jpg,healthy,64.71,Resultado: healthy Datos: aphid: -62 healthy: 37 
aphid.99.jpg,healthy,61.96,Resultado: healthy Datos: aphid: -51 healthy: 30 
healthy.100.jpg,healthy,52.94,Resultado: healthy Datos: aphid: -32 healthy: 7 
healthy.101.jpg,healthy,58.82,Resultado: healthy Datos: aphid: -50 healthy: 22 
healthy.35.jpg,healthy,66.27,Resultado: healthy Datos: aphid: -66 healthy: 41 
healthy.36.jpg,aphid,47.45,Resultado: aphid Datos: aphid: -7 healthy: -19 
healthy.37.jpg,healthy,61.57,Resultado: healthy Datos: aphid: -56 healthy: 29 
